MlDomainName,MlIntentName,Utterance
Admissions,Speak_with_Counselor,Admissions Counselor
Admissions,Speak_with_Counselor,Advisor
Admissions,Speak_with_Counselor,Advisor chat
Admissions,Speak_with_Counselor,Advisor meeting
Admissions,Speak_with_Counselor,Can I make a appointment
Admissions,Speak_with_Counselor,Can I make an appointment
Admissions,Speak_with_Counselor,Can I make an online appointment
Admissions,Speak_with_Counselor,Can I meet with a admissions advisor
Admissions,Speak_with_Counselor,Can I meet with a advisor
Admissions,Speak_with_Counselor,Can I meet with a Cousnelor
Admissions,Speak_with_Counselor,Can I meet with an admissions advisor
Admissions,Speak_with_Counselor,Can I meet with an Admissions Counselor
Admissions,Speak_with_Counselor,Can I meet with an advisor
Admissions,Speak_with_Counselor,Can I meet with my advisor
Admissions,Speak_with_Counselor,Can I meet with someone
Admissions,Speak_with_Counselor,Can I schedule a meeting with a Counselor
Admissions,Speak_with_Counselor,Can I schedule a meeting with an Admissions Counselor
Admissions,Speak_with_Counselor,Can I see an advsior
Admissions,Speak_with_Counselor,Can I speak to a Counselor
Admissions,Speak_with_Counselor,Can I speak to an Admissions Counselor
Admissions,Speak_with_Counselor,Can I speak with a Counselor
Admissions,Speak_with_Counselor,Can I speak with an Admissions Counselor
Admissions,Speak_with_Counselor,Can I talk to a real person
Admissions,Speak_with_Counselor,Can I talk to an advsior
Admissions,Speak_with_Counselor,Chat with Admissions Counselor
Admissions,Speak_with_Counselor,Chat with an Admissions Counselor
Admissions,Speak_with_Counselor,Chat with Counselor
Admissions,Speak_with_Counselor,Counselor
Admissions,Speak_with_Counselor,Counselor chat
Admissions,Speak_with_Counselor,Counselor meeting
Admissions,Speak_with_Counselor,How can I talk to someone about my application
Admissions,Speak_with_Counselor,How can someone talk to me about my application
Admissions,Speak_with_Counselor,How do I make an advising appointment?
Admissions,Speak_with_Counselor,How do I see an advisor?
Admissions,Speak_with_Counselor,How do I talk to someone about my application
Admissions,Speak_with_Counselor,I can't find my advisor
Admissions,Speak_with_Counselor,I need help
Admissions,Speak_with_Counselor,I need to see an advisor?
Admissions,Speak_with_Counselor,I want to chat with an Admissions Counselor
Admissions,Speak_with_Counselor,I want to speak with an Admissions Counselor
Admissions,Speak_with_Counselor,I'd like to chat with an Admissions Counselor
Admissions,Speak_with_Counselor,I'd like to make an appointment
Admissions,Speak_with_Counselor,I'd like to speak with an Admissions Counselor
Admissions,Speak_with_Counselor,I'm frustrated
Admissions,Speak_with_Counselor,Meet with a admissions advisor
Admissions,Speak_with_Counselor,Meet with a advisor
Admissions,Speak_with_Counselor,Meet with admissions advisor
Admissions,Speak_with_Counselor,Meet with advisor
Admissions,Speak_with_Counselor,Meet with an admissions advisor
Admissions,Speak_with_Counselor,Meet with an advisor
Admissions,Speak_with_Counselor,Meet with my admissions advisor
Admissions,Speak_with_Counselor,Meet with my advisor
Admissions,Speak_with_Counselor,Meet with someone
Admissions,Speak_with_Counselor,Real person
Admissions,Speak_with_Counselor,Speak counselor
Admissions,Speak_with_Counselor,Speak Counselor
Admissions,Speak_with_Counselor,Speak to a Admissions Counselor
Admissions,Speak_with_Counselor,Speak to a Counselor
Admissions,Speak_with_Counselor,Speak to Admissions Counselor
Admissions,Speak_with_Counselor,Speak to an Admissions Counselor
Admissions,Speak_with_Counselor,Speak to Counselor
Admissions,Speak_with_Counselor,Speak to someone
Admissions,Speak_with_Counselor,Speak with a Counselor
Admissions,Speak_with_Counselor,Speak with an Admissions Counselor
Admissions,Speak_with_Counselor,Speak with counselor
Admissions,Speak_with_Counselor,Speak with Counselor
Admissions,Speak_with_Counselor,Talk to real person
Admissions,Speak_with_Counselor,What is my department phone number
Admissions,Speak_with_Counselor,What's my advisor's number?
Admissions,Speak_with_Counselor,When do I enroll in courses?
Admissions,Speak_with_Counselor,Where can I get advising?
Admissions,Speak_with_Counselor,Where do I find out who to call
Admissions,Speak_with_Counselor,Where do I find out who to talk to
Admissions,Speak_with_Counselor,Who can I call
Admissions,Speak_with_Counselor,Who can I talk to
Admissions,Speak_with_Counselor,Who can I talk to about my application
Admissions,Speak_with_Counselor,Who can talk to me about my application
Admissions,Speak_with_Counselor,Who do I talk to about my application
Admissions,Speak_with_Counselor,Who is my advisor